Skill Name,Use Count,Grouped Intents
IntrospectSkill,112,"CountIntents, CountIntentsIntent, CountSkillsIntent, IntentList, ListIntents, ListIntentsIntent, ListSkills, ListSkillsIntent, RecursiveIntent, SkillCount, SkillIntentsIntent, SkillList"
SightWordTest1Skill,105,BeginSightWord1Intent
EchoUtteranceSkill,102,"EchoUtteranceSkillIntent, EchoUtteranceSkillStartIntent, EchoUtteranceSkillStopIntent"
test-carstena-the-cows-lists,102,"AddTaskIntent, AddTaskToListIntent, AuthenticateIntent, CompleteTaskIntent, CompleteTaskOnListIntent, DueIntent, DueOnListIntent, FindTaskIntent, FindTaskOnListIntent, GetTokenIntent, ReadIntent, ReadListIntent, SendExceptionIntent, UndoIntent"
French Radio,96,PlayChannelIntentFrench Radio
IntroCMSBaseSkill,96,"CPanelIntent, CancelIntent, ClearCacheIntent, LaunchDemoSiteIntent, NewItemIntent, SaveAndCloseIntent, SaveIntent, SelectItemIntent"
AttendanceSkill,94,"AddStudentIntent, SendAttendanceIntent"
BlynkIOTSkill,93,"FeelsIntent, TurnOffBothIntent, TurnOffFanIntent, TurnOffLightIntent, TurnOffPowerIntent, TurnOnBothIntent, TurnOnFanIntent, TurnOnLightIntent, TurnOnPowerIntent"
GPIO_ControlSkill,91,"IoCommandIntent, SystemQueryIntent"
Esp8266Skill,89,Esp8266CmdIntent
BitcoinPriceSkill,88,BitcoinPriceIntent
SvDemoSkill,88,"ZExpIntent, ZExpNamFa2Intent, ZExpNamIntent, ZIntent"
MalibuStacySkill,87,"MalibuStacyIntent, WhatWouldMalibuStacyDoIntent"
ReadingSkill,84,"AliceIntent, FifthIntent, FirstIntent, FiveIntent, FourIntent, FourthIntent, SecondIntent, SixIntent, ThirdIntent, ThreeIntent, TwoIntent"
JIRAagentSkill,84,"ContactInfoIntent, DueDateForIssueIntent, IssueStatusIntent, IssuesOpenIntent, IssuesOverdueIntent, MostUrgentIssueIntent, RaiseIssueIntent, StatusReportIntent"
RssSkill,82,"readArticleIntent, rssIntent"
GooglePlayMusicPlayerSkill,80,"GooglePlayCurrentTrackKeywordIntent, GooglePlayNextKeywordIntent, GooglePlayPauseKeywordIntent, GooglePlayPlayKeywordIntent, GooglePlayStartFeelingLuckyKeywordIntent, GooglePlayStopKeywordIntent, GooglePlayThumbsDownKeywordIntent, GooglePlayThumbsUpKeywordIntent, googleplayPauseKeywordIntent"
CmdSkillWithParams,78,RunScriptCommandIntent
ArbitratorSkill,77,"ConsentIntent, DecisionIntent, TerminationIntent"
KodiControllerSkill,74,"ContextIntent, DebugIntent, DirectionIntent, HomeIntent, InfoIntent, PlayPauseIntent, SelectIntent, StopIntent, SubtitlesIntent"
CryptoSkill,74,"BitcoinMarketCapIntent, BitcoinPriceIntent, EthereumMarketCapIntent, EthereumPriceIntent, LitecoinMarketCapIntent, LitecoinPriceIntent, MoneroMarketCapIntent, MoneroPriceIntent, RipplePriceIntent"
ConfuciusSkill,73,"handle_funny_saying, handle_saying"
InternalsPlasmaDesktopSkill,73,"AddWigetToDesktopKeywordIntent, DecreaseBrightnessKeywordIntent, IncreaseBrightnessKeywordIntent, LockKeywordIntent, MaximumBrightnessKeywordIntent, MinimumBrightnessKeywordIntent, MoveMainPanelKeywordIntent, RestartPlasmaKeywordIntent, ToogleTouchPadKeywordIntent"
RadioSkill,73,"handle_color_three_intent, handle_hello_world_intent, handle_henri_des_intent, handle_rts_intent, handle_rts_one_intent, handle_rts_three_intent, handle_rts_two_intent"
SpeedTestSkill,72,SpeedTestSkill
DailyMeditationSkill,72,DailyMeditationIntent
CaffeineWizSkill,72,"CaffeineContentGoodbyeIntent, CaffeineContentIntent, CaffeineContentNextDrinkIntent"
SkillTemplate,71,"AssistantIntent, BrightnessIntent, CommandIntent, HALIntent"
CountToSkill,70,count_number
PlatformPatchSkill,66,PlatformPatchIntent
GhostSkill,66,"CommentIntent, GhostIntent, OutsideIntent, ResponseIntent"
mqttSend,64,mqttSendIntent
GoogleGmailSkill,63,"CheckGmailIntent, GetGmailIntent, GetLastGmailIntent"
AstromechPit,63,"handle_introduction, handle_team_query"
KnockKnockJokesSkill,58,handle_tell_joke
TeslaSkill,57,"PreHeatTesla, TeslaClimateOff, TeslaClimateOn, TeslaWarmClimateOff, TeslaWarmClimateOn"
